"head"	"relation"	"tail"
"mondo.0011929"	"associated"	"uniprot.Q9P2R6"
"mondo.0011067"	"associated"	"uniprot.Q01814"
"drugbank.DB01177"	"SE"	"meddra.10000057"
"drugbank.DB00934"	"target"	"uniprot.P21918"
"mondo.0009693"	"symptom"	"hpo.0031047"
"mondo.0014433"	"associated"	"uniprot.Q96RK4"
"drugbank.DB00230"	"SE"	"meddra.10038695"
"mondo.0010424"	"associated"	"uniprot.P15509"
"mondo.0018177"	"associated"	"uniprot.Q6ZU15"
"mondo.0011996"	"associated"	"uniprot.P11274"
"mondo.0016358"	"symptom"	"hpo.0002206"
"mondo.0018053"	"associated"	"uniprot.O15541"
"drugbank.DB00715"	"SE"	"meddra.10020112"
"mondo.0014984"	"associated"	"uniprot.Q96MG7"
"drugbank.DB00273"	"SE"	"meddra.10029148"
"mondo.0014367"	"symptom"	"hpo.0001878"
"mondo.0014352"	"symptom"	"hpo.0005978"
"drugbank.DB05294"	"SE"	"meddra.10020587"
"drugbank.DB06605"	"target"	"uniprot.P00742"
"drugbank.DB00317"	"target"	"uniprot.P10721"
"drugbank.DB00490"	"SE"	"meddra.10021649"
"mondo.0008709"	"symptom"	"hpo.0001433"
"mondo.0009367"	"symptom"	"hpo.0001636"
"mondo.0009567"	"associated"	"uniprot.Q9H173"
"drugbank.DB08875"	"target"	"uniprot.Q02763"
"mondo.0014662"	"symptom"	"hpo.0004409"
"mondo.0016466"	"associated"	"uniprot.P35638"
"mondo.0008759"	"symptom"	"hpo.0001310"
"drugbank.DB00502"	"target"	"uniprot.P47898"
"drugbank.DB00472"	"SE"	"meddra.10015461"
"mondo.0011841"	"associated"	"uniprot.Q9BZV2"
"drugbank.DB08901"	"target"	"uniprot.P07949"
"drugbank.DB00458"	"target"	"uniprot.P28223"
"drugbank.DB06202"	"SE"	"meddra.10038084"
"mondo.0007113"	"symptom"	"hpo.0000752"
"mondo.0007932"	"symptom"	"hpo.0000608"
"mondo.0019200"	"associated"	"uniprot.P50213"
"mondo.0010500"	"symptom"	"hpo.0001007"
"mondo.0015753"	"symptom"	"hpo.0010628"
"drugbank.DB00481"	"target"	"uniprot.P22303"
"mondo.0013692"	"associated"	"uniprot.Q92560"
"mondo.0014729"	"associated"	"uniprot.P20916"
"mondo.0008678"	"symptom"	"hpo.0000826"
"drugbank.DB08912"	"SE"	"meddra.10020649"
"mondo.0010848"	"associated"	"uniprot.O43497"
"mondo.0005029"	"associated"	"uniprot.P01127"
"mondo.0019349"	"associated"	"uniprot.O95996"
"mondo.0011624"	"symptom"	"hpo.0001680"
"drugbank.DB01242"	"SE"	"meddra.10020741"
"mondo.0011383"	"symptom"	"hpo.0002633"
"mondo.0013808"	"associated"	"uniprot.O75874"
"mondo.0009696"	"associated"	"uniprot.O14764"
"mondo.0011510"	"symptom"	"hpo.0001007"
"mondo.0010200"	"symptom"	"hpo.0002653"
"drugbank.DB01198"	"target"	"uniprot.P14867"
"mondo.0016344"	"associated"	"uniprot.Q9NXR1"
"mondo.0007896"	"associated"	"uniprot.Q06609"
"mondo.0005502"	"symptom"	"hpo.0006543"
"mondo.0015005"	"symptom"	"hpo.0025116"
"drugbank.DB00285"	"SE"	"meddra.10021084"
"mondo.0054697"	"symptom"	"hpo.0001047"
"mondo.0016471"	"associated"	"uniprot.P13645"
"drugbank.DB00244"	"SE"	"meddra.10034474"
"drugbank.DB00455"	"target"	"uniprot.Q12809"
"drugbank.DB00370"	"SE"	"meddra.10033078"
"mondo.0014405"	"symptom"	"hpo.0033434"
"mondo.0012808"	"symptom"	"hpo.0004755"
"mondo.0012883"	"associated"	"uniprot.P49715"
"mondo.0009309"	"symptom"	"hpo.0100658"
"drugbank.DB01275"	"target"	"uniprot.P26358"
"mondo.0015193"	"associated"	"uniprot.Q13351"
"mondo.0007576"	"associated"	"uniprot.P49411"
"mondo.0014139"	"symptom"	"hpo.0002098"
"drugbank.DB00688"	"SE"	"meddra.10014080"
"drugbank.DB08910"	"SE"	"meddra.10020587"
"mondo.0016238"	"symptom"	"hpo.0012125"
"drugbank.DB04946"	"target"	"uniprot.P18825"
"drugbank.DB01137"	"SE"	"meddra.10049195"
"mondo.0016830"	"symptom"	"hpo.0001387"
"drugbank.DB00619"	"SE"	"meddra.10022992"
"drugbank.DB00230"	"SE"	"meddra.10022974"
"mondo.0011003"	"symptom"	"hpo.0011712"
"drugbank.DB01025"	"SE"	"meddra.10002959"
"mondo.0011638"	"symptom"	"hpo.0001266"
"mondo.0010210"	"symptom"	"hpo.0000491"
"drugbank.DB08901"	"target"	"uniprot.Q9BWU1"
"mondo.0013255"	"symptom"	"hpo.0001385"
"mondo.0017810"	"symptom"	"hpo.0002176"
"drugbank.DB00799"	"target"	"uniprot.P13631"
"drugbank.DB00603"	"SE"	"meddra.10033799"
"drugbank.DB00215"	"target"	"uniprot.P28335"
"drugbank.DB00906"	"SE"	"meddra.10005148"
"mondo.0007576"	"associated"	"uniprot.P31947"
"mondo.0014587"	"associated"	"uniprot.O15146"
"mondo.0008104"	"associated"	"uniprot.P15056"
"drugbank.DB01268"	"target"	"uniprot.O14578"
"drugbank.DB01233"	"SE"	"meddra.10026861"
"mondo.0013291"	"symptom"	"hpo.0001714"
"mondo.0010592"	"associated"	"uniprot.Q9H237"
"drugbank.DB00755"	"SE"	"meddra.10043189"
"drugbank.DB01224"	"SE"	"meddra.10005148"
"drugbank.DB00909"	"target"	"uniprot.P00918"
"drugbank.DB00745"	"SE"	"meddra.10013916"
"mondo.0010421"	"symptom"	"hpo.0002754"
"mondo.0011638"	"symptom"	"hpo.0002300"
"mondo.0012529"	"symptom"	"hpo.0001896"
"mondo.0011274"	"symptom"	"hpo.0000646"
"drugbank.DB00408"	"target"	"uniprot.P23975"
"mondo.0009478"	"symptom"	"hpo.0200042"
"mondo.0008668"	"associated"	"uniprot.P04275"
"mondo.0008736"	"associated"	"uniprot.O43933"
"mondo.0008713"	"symptom"	"hpo.0002024"
"mondo.0013051"	"associated"	"uniprot.P32322"
"mondo.0019499"	"symptom"	"hpo.0000995"
"mondo.0018906"	"symptom"	"hpo.0001287"
"mondo.0013584"	"associated"	"uniprot.P26358"
"drugbank.DB01268"	"target"	"uniprot.Q9HAZ1"
"mondo.0009563"	"associated"	"uniprot.P21953"
"mondo.0007522"	"associated"	"uniprot.P20908"
"mondo.0007381"	"symptom"	"hpo.0001097"
"drugbank.DB06626"	"SE"	"meddra.10020943"
"drugbank.DB06213"	"SE"	"meddra.10033546"
"mondo.0014339"	"symptom"	"hpo.0000876"
"mondo.0008120"	"associated"	"uniprot.Q00005"
"mondo.0008753"	"symptom"	"hpo.0008419"
"mondo.0013689"	"associated"	"uniprot.Q9P2W1"
"mondo.0012858"	"associated"	"uniprot.P13987"
"drugbank.DB00502"	"target"	"uniprot.P23975"
"mondo.0018874"	"associated"	"uniprot.Q9H0Q3"
"drugbank.DB00905"	"SE"	"meddra.10015068"
"mondo.0005136"	"associated"	"uniprot.P16671"
"mondo.0009728"	"symptom"	"hpo.0000103"
"mondo.0007854"	"symptom"	"hpo.0200039"
"drugbank.DB00370"	"target"	"uniprot.P21728"
"drugbank.DB00230"	"SE"	"meddra.10002535"
"drugbank.DB00425"	"SE"	"meddra.10003230"
"mondo.0014805"	"symptom"	"hpo.0002186"
"drugbank.DB01268"	"target"	"uniprot.Q9H422"
"drugbank.DB00679"	"target"	"uniprot.P28566"
"drugbank.DB00188"	"SE"	"meddra.10000971"
"mondo.0011482"	"associated"	"uniprot.P17661"
"drugbank.DB00753"	"target"	"uniprot.P28472"
"drugbank.DB00929"	"target"	"uniprot.P35408"
"mondo.0015285"	"symptom"	"hpo.0000138"
"mondo.0019200"	"symptom"	"hpo.0000602"
"mondo.0010526"	"symptom"	"hpo.0002024"
"drugbank.DB01268"	"target"	"uniprot.O43318"
"drugbank.DB00537"	"SE"	"meddra.10026749"
"drugbank.DB00917"	"target"	"uniprot.P43116"
"mondo.0011895"	"symptom"	"hpo.0002024"
"drugbank.DB00753"	"target"	"uniprot.O14649"
"mondo.0020300"	"associated"	"uniprot.P17787"
"mondo.0009297"	"symptom"	"hpo.0002591"
"mondo.0016033"	"symptom"	"hpo.0001883"
"mondo.0009441"	"associated"	"uniprot.O75342"
"mondo.0024557"	"symptom"	"hpo.0000298"
"mondo.0014039"	"associated"	"uniprot.Q9BQP7"
"mondo.0010200"	"symptom"	"hpo.0000124"
"mondo.0012517"	"symptom"	"hpo.0002653"
"mondo.0009218"	"symptom"	"hpo.0100750"
"drugbank.DB00268"	"target"	"uniprot.P21728"
"drugbank.DB01224"	"SE"	"meddra.10039788"
"mondo.0016988"	"symptom"	"hpo.0001259"
"mondo.0012941"	"symptom"	"hpo.0004387"
"mondo.0011408"	"symptom"	"hpo.0000012"
"mondo.0008457"	"associated"	"uniprot.O43424"
"drugbank.DB00633"	"SE"	"meddra.10047281"
"mondo.0007621"	"symptom"	"hpo.0000104"
"mondo.0009696"	"associated"	"uniprot.O00305"
"mondo.0004948"	"associated"	"uniprot.P41182"
"mondo.0005136"	"associated"	"uniprot.P06028"
"mondo.0009614"	"symptom"	"hpo.0002919"
"mondo.0018874"	"associated"	"uniprot.P22681"
"drugbank.DB00882"	"SE"	"meddra.10024329"
"mondo.0016862"	"symptom"	"hpo.0001680"
"mondo.0008436"	"symptom"	"hpo.0002301"
"drugbank.DB06151"	"target"	"uniprot.P04179"
"mondo.0014926"	"associated"	"uniprot.Q96LB3"
"mondo.0013135"	"symptom"	"hpo.0002583"
"mondo.0007269"	"associated"	"uniprot.P05166"
"drugbank.DB01268"	"target"	"uniprot.Q00535"
"mondo.0007044"	"symptom"	"hpo.0000135"
"mondo.0009364"	"associated"	"uniprot.O75072"
"mondo.0100215"	"symptom"	"hpo.0001396"
"mondo.0014855"	"symptom"	"hpo.0010307"
"mondo.0010651"	"symptom"	"hpo.0002170"
"mondo.0019611"	"symptom"	"hpo.0000980"
"drugbank.DB01110"	"target"	"uniprot.Q12809"
"mondo.0011719"	"associated"	"uniprot.O95625"
"mondo.0014800"	"associated"	"uniprot.P68133"
"mondo.0020331"	"symptom"	"hpo.0032155"
"drugbank.DB00715"	"SE"	"meddra.10029148"
"mondo.0010221"	"associated"	"uniprot.Q9Y2B2"
"drugbank.DB09053"	"target"	"uniprot.P42681"
"mondo.0014841"	"symptom"	"hpo.0008064"
"mondo.0010645"	"symptom"	"hpo.0002169"
"mondo.0010626"	"symptom"	"hpo.0001287"
"drugbank.DB00530"	"target"	"uniprot.P09619"
"mondo.0014946"	"symptom"	"hpo.0001636"
"mondo.0005321"	"associated"	"uniprot.P25067"
"drugbank.DB01544"	"target"	"uniprot.P18507"
"mondo.0010298"	"symptom"	"hpo.0001997"
"mondo.0012562"	"associated"	"uniprot.Q13635"
"drugbank.DB01273"	"target"	"uniprot.Q07001"
"drugbank.DB00399"	"SE"	"meddra.10022955"
"mondo.0009650"	"symptom"	"hpo.0001433"
"drugbank.DB00683"	"target"	"uniprot.P14867"
"drugbank.DB00909"	"SE"	"meddra.10000971"
"drugbank.DB01238"	"target"	"uniprot.P31645"
"mondo.0008329"	"associated"	"uniprot.Q9H4A3"
"mondo.0010200"	"symptom"	"hpo.0002375"
"drugbank.DB06616"	"target"	"uniprot.P50613"
"drugbank.DB00230"	"SE"	"meddra.10021113"
"mondo.0014464"	"associated"	"uniprot.Q4G0N4"
"mondo.0009693"	"associated"	"uniprot.Q8N726"
"mondo.0013419"	"symptom"	"hpo.0002725"
"mondo.0016838"	"symptom"	"hpo.0001653"
"mondo.0018216"	"symptom"	"hpo.0000126"
"mondo.0009441"	"associated"	"uniprot.P22735"
"mondo.0007488"	"symptom"	"hpo.0000746"
"drugbank.DB00934"	"target"	"uniprot.P23975"
"mondo.0011895"	"symptom"	"hpo.0002354"
"mondo.0014969"	"associated"	"uniprot.Q9UHJ6"
"drugbank.DB00523"	"target"	"uniprot.P19793"
"drugbank.DB00313"	"SE"	"meddra.10014080"
"drugbank.DB00268"	"SE"	"meddra.10043255"
"mondo.0013726"	"symptom"	"hpo.0010553"
"mondo.0008318"	"symptom"	"hpo.0004418"
"mondo.0010518"	"symptom"	"hpo.0000498"
"drugbank.DB00315"	"SE"	"meddra.10023157"
"drugbank.DB00659"	"SE"	"meddra.10020582"
"mondo.0019210"	"associated"	"uniprot.O14521"
"mondo.0008599"	"associated"	"uniprot.P14136"
"mondo.0015452"	"associated"	"uniprot.P35716"
"drugbank.DB00195"	"SE"	"meddra.10037508"
"mondo.0012222"	"associated"	"uniprot.P17050"
"mondo.0014630"	"symptom"	"hpo.0012114"
"mondo.0007617"	"associated"	"uniprot.Q8NFD5"
"mondo.0019542"	"symptom"	"hpo.0001259"
"mondo.0013977"	"associated"	"uniprot.Q8TCS8"
"mondo.0013548"	"symptom"	"hpo.0002072"
"mondo.0010637"	"symptom"	"hpo.0000498"
"mondo.0011936"	"symptom"	"hpo.0000618"
"drugbank.DB00811"	"SE"	"meddra.10049195"
"drugbank.DB00374"	"SE"	"meddra.10027162"
"mondo.0013359"	"symptom"	"hpo.0002170"
"mondo.0002474"	"symptom"	"hpo.0004417"
"mondo.0015193"	"symptom"	"hpo.0001541"
"mondo.0009950"	"associated"	"uniprot.P30613"
"mondo.0011374"	"symptom"	"hpo.0003124"
"mondo.0014796"	"associated"	"uniprot.Q709C8"
"mondo.0009712"	"symptom"	"hpo.0010628"
"mondo.0019259"	"associated"	"uniprot.P09417"
"mondo.0006292"	"associated"	"uniprot.Q13421"
"mondo.0011273"	"symptom"	"hpo.0000141"
"mondo.0014165"	"symptom"	"hpo.0002150"
"mondo.0014421"	"symptom"	"hpo.0001007"
"mondo.0013822"	"symptom"	"hpo.0000717"
"drugbank.DB00715"	"target"	"uniprot.P35462"
"mondo.0018053"	"symptom"	"hpo.0001097"
"mondo.0010847"	"associated"	"uniprot.Q58EX7"
"mondo.0008306"	"symptom"	"hpo.0000726"
"drugbank.DB00398"	"target"	"uniprot.P47898"
"mondo.0009290"	"symptom"	"hpo.0002633"
"mondo.0008457"	"associated"	"uniprot.Q9GZZ9"
"mondo.0009192"	"symptom"	"hpo.0001891"
"mondo.0019006"	"associated"	"uniprot.Q0IIM8"
"mondo.0007576"	"associated"	"uniprot.P61278"
"drugbank.DB00268"	"SE"	"meddra.10041347"
"drugbank.DB01242"	"SE"	"meddra.10020400"
"drugbank.DB00983"	"target"	"uniprot.P13945"
"mondo.0013808"	"symptom"	"hpo.0002893"
"mondo.0011927"	"associated"	"uniprot.O95837"
"mondo.0007888"	"associated"	"uniprot.P07954"
"mondo.0019391"	"symptom"	"hpo.0002023"
"mondo.0017319"	"associated"	"uniprot.P11277"
"drugbank.DB00280"	"target"	"uniprot.P35367"
"mondo.0016755"	"symptom"	"hpo.0002584"
"mondo.0013721"	"symptom"	"hpo.0002725"
"drugbank.DB01259"	"target"	"uniprot.Q13163"
"drugbank.DB06769"	"target"	"uniprot.Q969S8"
"drugbank.DB00323"	"SE"	"meddra.10009887"
"mondo.0014758"	"associated"	"uniprot.Q03112"
"mondo.0019542"	"associated"	"uniprot.P45983"
"mondo.0005388"	"associated"	"uniprot.P33681"
"mondo.0009825"	"symptom"	"hpo.0004387"
"drugbank.DB00555"	"SE"	"meddra.10013442"
"mondo.0014353"	"symptom"	"hpo.0500093"
"drugbank.DB00195"	"SE"	"meddra.10039100"
"mondo.0011988"	"symptom"	"hpo.0001974"
"mondo.0011582"	"symptom"	"hpo.0002878"
"mondo.0012256"	"associated"	"uniprot.Q8NEL9"
"mondo.0009268"	"symptom"	"hpo.0002206"
"mondo.0006456"	"associated"	"uniprot.P04637"
"drugbank.DB00573"	"SE"	"meddra.10037375"
"drugbank.DB00230"	"SE"	"meddra.10020558"
"drugbank.DB01212"	"SE"	"meddra.10003639"
"drugbank.DB00909"	"SE"	"meddra.10014928"
"drugbank.DB01238"	"target"	"uniprot.P07550"
"drugbank.DB06616"	"target"	"uniprot.Q8IU85"
"mondo.0011506"	"associated"	"uniprot.Q9ULP9"
"drugbank.DB00904"	"SE"	"meddra.10023891"
"mondo.0012939"	"symptom"	"hpo.0001972"
"drugbank.DB01149"	"SE"	"meddra.10030302"
"drugbank.DB00564"	"target"	"uniprot.O75469"
"drugbank.DB06626"	"target"	"uniprot.Q6PHR2"
"drugbank.DB01100"	"SE"	"meddra.10047302"
"drugbank.DB00230"	"SE"	"meddra.10007636"
"drugbank.DB00630"	"SE"	"meddra.10027162"
"mondo.0012465"	"associated"	"uniprot.Q3MUY2"
"drugbank.DB00402"	"SE"	"meddra.10049195"
"drugbank.DB06616"	"target"	"uniprot.Q9H422"
"mondo.0014472"	"symptom"	"hpo.0001287"
"mondo.0010645"	"symptom"	"hpo.0002749"
"drugbank.DB00843"	"target"	"uniprot.Q99720"
"mondo.0010382"	"symptom"	"hpo.0002354"
"mondo.0010578"	"associated"	"uniprot.O60220"
"mondo.0018874"	"associated"	"uniprot.Q9BX63"
"mondo.0010200"	"associated"	"uniprot.P17568"
"mondo.0010421"	"symptom"	"hpo.0200042"
"mondo.0008742"	"associated"	"uniprot.Q13488"
"mondo.0009783"	"symptom"	"hpo.0001638"
"drugbank.DB00962"	"SE"	"meddra.10044684"
"mondo.0009068"	"associated"	"uniprot.Q96IL0"
"drugbank.DB00928"	"SE"	"meddra.10039109"
"drugbank.DB06626"	"target"	"uniprot.Q16513"
"drugbank.DB00448"	"SE"	"meddra.10001580"
"mondo.0008858"	"associated"	"uniprot.O60313"
"mondo.0003582"	"associated"	"uniprot.O96017"
"drugbank.DB00490"	"target"	"uniprot.P35462"
"mondo.0007152"	"symptom"	"hpo.0001645"
"mondo.0007488"	"associated"	"uniprot.Q14457"
"drugbank.DB08873"	"target"	"uniprot.P10619"
"mondo.0014940"	"associated"	"uniprot.Q13501"
"mondo.0009650"	"symptom"	"hpo.0001653"
"mondo.0013164"	"symptom"	"hpo.0002133"
"drugbank.DB00996"	"SE"	"meddra.10020558"
"drugbank.DB06626"	"target"	"uniprot.P06239"
"drugbank.DB00753"	"target"	"uniprot.P34903"
"mondo.0012726"	"associated"	"uniprot.P02462"
"mondo.0007032"	"symptom"	"hpo.0001636"
"mondo.0011929"	"symptom"	"hpo.0002591"
"mondo.0023122"	"associated"	"uniprot.Q9HAC7"
"drugbank.DB00230"	"SE"	"meddra.10018043"
"drugbank.DB08881"	"target"	"uniprot.P10398"
"mondo.0006639"	"associated"	"uniprot.P23921"
"mondo.0014481"	"symptom"	"hpo.0200034"
"mondo.0010645"	"symptom"	"hpo.0000093"
"mondo.0010132"	"associated"	"uniprot.Q9NRD8"
"mondo.0010200"	"associated"	"uniprot.P00450"
"drugbank.DB00503"	"target"	"uniprot.P41145"
"mondo.0007959"	"associated"	"uniprot.Q9Y4H2"
"mondo.0016419"	"associated"	"uniprot.Q17RS7"
"drugbank.DB04868"	"SE"	"meddra.10025327"
"mondo.0044302"	"associated"	"uniprot.Q14004"
"drugbank.DB00755"	"SE"	"meddra.10015226"
"drugbank.DB00512"	"SE"	"meddra.10047924"
"mondo.0007488"	"associated"	"uniprot.P11717"
"mondo.0010061"	"symptom"	"hpo.0000618"
"drugbank.DB00996"	"SE"	"meddra.10006002"
"drugbank.DB00688"	"SE"	"meddra.10000496"
"drugbank.DB01254"	"target"	"uniprot.Q9UL54"
"drugbank.DB01189"	"target"	"uniprot.P47870"
"mondo.0010031"	"associated"	"uniprot.P51648"
"drugbank.DB00755"	"SE"	"meddra.10000486"
"drugbank.DB00909"	"SE"	"meddra.10002972"
"mondo.0021569"	"symptom"	"hpo.0011705"
"mondo.0009732"	"associated"	"uniprot.O60500"
"drugbank.DB00230"	"SE"	"meddra.10013836"
"drugbank.DB00230"	"SE"	"meddra.10002241"
"mondo.0009218"	"symptom"	"hpo.0002098"
"drugbank.DB04868"	"target"	"uniprot.P06213"
"mondo.0014369"	"associated"	"uniprot.P10070"
"mondo.0008487"	"associated"	"uniprot.Q96MD2"
"drugbank.DB01026"	"target"	"uniprot.P25100"
"mondo.0008729"	"symptom"	"hpo.0001061"
"drugbank.DB00268"	"SE"	"meddra.10029410"
"mondo.0010121"	"symptom"	"hpo.0001636"
"mondo.0017160"	"associated"	"uniprot.Q13501"
"drugbank.DB01097"	"SE"	"meddra.10008635"
"mondo.0018304"	"symptom"	"hpo.0012733"
"drugbank.DB00248"	"target"	"uniprot.P35368"
"mondo.0008709"	"symptom"	"hpo.0001541"
"mondo.0010340"	"symptom"	"hpo.0000717"
"mondo.0013342"	"symptom"	"hpo.0000488"
"mondo.0001187"	"associated"	"uniprot.Q76L83"
"drugbank.DB04868"	"target"	"uniprot.P29320"
"mondo.0007924"	"symptom"	"hpo.0012032"
"drugbank.DB00398"	"target"	"uniprot.Q15375"
"mondo.0014166"	"associated"	"uniprot.Q969N2"
"mondo.0013458"	"symptom"	"hpo.0001622"
"drugbank.DB01222"	"SE"	"meddra.10020112"
"drugbank.DB00491"	"target"	"uniprot.P04746"
"drugbank.DB01097"	"SE"	"meddra.10049195"
"mondo.0009717"	"symptom"	"hpo.0000787"
"drugbank.DB04868"	"SE"	"meddra.10020622"
"drugbank.DB01165"	"SE"	"meddra.10000486"
"mondo.0012345"	"associated"	"uniprot.O43548"
"mondo.0013304"	"symptom"	"hpo.0000132"
"mondo.0013863"	"symptom"	"hpo.0002665"
"mondo.0011402"	"associated"	"uniprot.Q9Y5B0"
"mondo.0008638"	"associated"	"uniprot.Q9UGI6"
"drugbank.DB00996"	"SE"	"meddra.10000496"
"mondo.0014823"	"symptom"	"hpo.0000836"
"mondo.0007099"	"associated"	"uniprot.P06396"
"mondo.0019342"	"associated"	"uniprot.O94986"
"mondo.0008678"	"symptom"	"hpo.0001387"
"mondo.0100130"	"associated"	"uniprot.Q6UWW8"
"mondo.0008818"	"associated"	"uniprot.O95528"
"mondo.0015277"	"symptom"	"hpo.0001618"
"drugbank.DB00528"	"SE"	"meddra.10020647"
"drugbank.DB00307"	"SE"	"meddra.10025280"
"drugbank.DB01189"	"SE"	"meddra.10023891"
"mondo.0013423"	"symptom"	"hpo.0002725"
"drugbank.DB08865"	"SE"	"meddra.10025327"
"drugbank.DB00398"	"SE"	"meddra.10020850"
"drugbank.DB04868"	"target"	"uniprot.P09769"
"mondo.0009691"	"symptom"	"hpo.0002665"
"mondo.0008283"	"symptom"	"hpo.0001907"
"mondo.0009341"	"symptom"	"hpo.0001636"
"drugbank.DB00813"	"SE"	"meddra.10038687"
"mondo.0027407"	"symptom"	"hpo.0000717"
"drugbank.DB00262"	"SE"	"meddra.10003525"
"mondo.0009068"	"associated"	"uniprot.P00414"
"mondo.0019200"	"associated"	"uniprot.P86790"
"drugbank.DB01129"	"SE"	"meddra.10031064"
"mondo.0017844"	"associated"	"uniprot.P06400"
"mondo.0044792"	"symptom"	"hpo.0001482"
"drugbank.DB06589"	"target"	"uniprot.P07947"
"drugbank.DB00575"	"SE"	"meddra.10021133"
"mondo.0006292"	"associated"	"uniprot.O15354"
"mondo.0009413"	"symptom"	"hpo.0002664"
"mondo.0019200"	"associated"	"uniprot.O75445"
"mondo.0010788"	"associated"	"uniprot.P01583"
"mondo.0011719"	"associated"	"uniprot.Q99643"
"mondo.0016296"	"symptom"	"hpo.0001883"
"mondo.0016642"	"associated"	"uniprot.P01127"
"mondo.0019162"	"associated"	"uniprot.Q96J92"
"mondo.0010651"	"associated"	"uniprot.Q04656"
"drugbank.DB00715"	"SE"	"meddra.10042604"
"drugbank.DB00555"	"SE"	"meddra.10020910"
"mondo.0014684"	"symptom"	"hpo.0002875"
"drugbank.DB00471"	"target"	"uniprot.P18825"
"mondo.0008153"	"symptom"	"hpo.0001482"
"mondo.0009288"	"symptom"	"hpo.0004387"
"mondo.0007793"	"symptom"	"hpo.0010535"
"mondo.0014282"	"symptom"	"hpo.0002354"
"mondo.0013356"	"symptom"	"hpo.0000126"
"mondo.0009338"	"symptom"	"hpo.0001269"
"mondo.0013680"	"symptom"	"hpo.0001310"
"drugbank.DB05812"	"SE"	"meddra.10021059"
"mondo.0009717"	"associated"	"uniprot.P17948"
"mondo.0014790"	"associated"	"uniprot.Q8N511"
"mondo.0010604"	"associated"	"uniprot.P00740"
"mondo.0010914"	"symptom"	"hpo.0001640"
"mondo.0018816"	"associated"	"uniprot.Q9UHG0"
"mondo.0013784"	"symptom"	"hpo.0002045"
"mondo.0011017"	"symptom"	"hpo.0001640"
"drugbank.DB01129"	"SE"	"meddra.10038695"
"drugbank.DB00669"	"SE"	"meddra.10042320"
"mondo.0010645"	"symptom"	"hpo.0001387"
"drugbank.DB06616"	"target"	"uniprot.P42679"
"drugbank.DB00448"	"target"	"uniprot.P10636"
"drugbank.DB00631"	"SE"	"meddra.10019418"
"mondo.0009092"	"symptom"	"hpo.0002488"
"drugbank.DB08911"	"SE"	"meddra.10020587"
"mondo.0007851"	"symptom"	"hpo.0000563"
"mondo.0008436"	"symptom"	"hpo.0001342"
"mondo.0015024"	"symptom"	"hpo.0032152"
"mondo.0015612"	"symptom"	"hpo.0003149"
"drugbank.DB01189"	"target"	"uniprot.P48169"
"mondo.0015278"	"associated"	"uniprot.Q5HYI8"
"mondo.0012714"	"associated"	"uniprot.Q8WZ42"
"drugbank.DB06616"	"target"	"uniprot.Q13164"
"mondo.0007886"	"associated"	"uniprot.Q9H1J7"
"drugbank.DB00740"	"SE"	"meddra.10029117"
"mondo.0013692"	"symptom"	"hpo.0005584"
"drugbank.DB01189"	"target"	"uniprot.Q99928"
"drugbank.DB00248"	"target"	"uniprot.P08908"
"drugbank.DB00915"	"SE"	"meddra.10037375"
"mondo.0013693"	"associated"	"uniprot.P78536"
"mondo.0013164"	"symptom"	"hpo.0001942"
"drugbank.DB00315"	"SE"	"meddra.10028980"
"drugbank.DB00207"	"target"	"uniprot.Q92887"
"mondo.0008867"	"symptom"	"hpo.0000602"
"drugbank.DB01198"	"SE"	"meddra.10033072"
"mondo.0013660"	"symptom"	"hpo.0002021"
"mondo.0015564"	"symptom"	"hpo.0030157"
"mondo.0011240"	"symptom"	"hpo.0002858"
"drugbank.DB00749"	"SE"	"meddra.10010071"
"mondo.0009025"	"associated"	"uniprot.P10644"
"mondo.0012362"	"symptom"	"hpo.0004308"
"drugbank.DB00285"	"SE"	"meddra.10038695"
"mondo.0010193"	"associated"	"uniprot.Q15910"
"mondo.0008487"	"associated"	"uniprot.Q13370"
"mondo.0019501"	"associated"	"uniprot.Q13402"
"drugbank.DB00962"	"SE"	"meddra.10025280"
"drugbank.DB01186"	"SE"	"meddra.10034721"
"mondo.0010465"	"symptom"	"hpo.0001007"
"mondo.0009571"	"associated"	"uniprot.Q9P0N5"
"drugbank.DB01182"	"target"	"uniprot.Q9NY72"
"mondo.0009309"	"symptom"	"hpo.0002840"
"mondo.0008329"	"associated"	"uniprot.P37088"
"mondo.0014062"	"associated"	"uniprot.P51530"
"mondo.0005657"	"associated"	"uniprot.Q9BXN2"
"mondo.0010547"	"symptom"	"hpo.0002317"
"drugbank.DB01136"	"SE"	"meddra.10021139"
"drugbank.DB00530"	"target"	"uniprot.Q15375"
"mondo.0012211"	"associated"	"uniprot.O75352"
"mondo.0007872"	"symptom"	"hpo.0000126"
"mondo.0014858"	"symptom"	"hpo.0001007"
"drugbank.DB01175"	"SE"	"meddra.10033664"
"mondo.0019346"	"symptom"	"hpo.0000962"
"drugbank.DB00404"	"SE"	"meddra.10039168"
"drugbank.DB00555"	"SE"	"meddra.10002959"
"drugbank.DB00316"	"target"	"uniprot.P21554"
"mondo.0013540"	"symptom"	"hpo.0001909"
"mondo.0014959"	"associated"	"uniprot.P12235"
"mondo.0008487"	"associated"	"uniprot.Q8TDD1"
"drugbank.DB00216"	"SE"	"meddra.10027906"
"drugbank.DB01115"	"target"	"uniprot.P24557"
